accession_no,author,cdli_id,collection,credits,date_of_origin,dates_referenced,designation,display_name,dynastic_seat,excavation_no,exemplars,findspot_square,genre,id_composite,language,material,museum_no,object_type,period,pleiades_id,popular_name,primary_publication,provenience,publication_date,publication_history,ruler,script,script_remarks,script_type,seal_id,subgenre,subgenre_remarks,text_remarks,year_name_eponym
"","","P463784","Iraq Museum, Baghdad, Iraq","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004606/.","858-824","","Shalmaneser III 001","RIAo Shalmaneser III 001","Assyria","","IM 060636 (ND 06237)","","Royal Inscription","Q004606","Akkadian","stone","","slab","Neo-Assyrian","894019","RIMA 3 A.0.102.1","Shalmaneser III 001","Nimrud","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463785","British Museum, London, UK; Birmingham Museums and Art Gallery, Birmingham, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004607/.","858-824","","Shalmaneser III 002","RIAo Shalmaneser III 002","Assyria","","BM 118884; Mahmud and Black, Sumer 44 pp. 135–150; BCM 0225-078","","Royal Inscription","Q004607","Akkadian","stone","","stele, slab","Neo-Assyrian","894019","RIMA 3 A.0.102.2","Shalmaneser III 002","Nimrud","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463786","","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004608/.","858-824","","Shalmaneser III 003","RIAo Shalmaneser III 003","Assyria","","Mahmud and Black, Sumer 44 pp. 135–150 ","","Royal Inscription","Q004608","Akkadian","stone","","slab","Neo-Assyrian","894019","RIMA 3 A.0.102.3","Shalmaneser III 003","Nimrud","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463787","National Museum of Syria, Aleppo, Syria","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004609/.","858-824","","Shalmaneser III 004","RIAo Shalmaneser III 004","Assyria","","NMSA -","","Royal Inscription","Q004609","Akkadian","stone","","slab","Neo-Assyrian","658410","RIMA 3 A.0.102.4","Shalmaneser III 004","Til-Barsip","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463788","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004610/.","858-824","","Shalmaneser III 005","RIAo Shalmaneser III 005","Assyria","","BM 124667 + BM 128156 (Rm 1047); BM 124665 + BM 124666 (Rm 1046)","","Royal Inscription","Q004610","Akkadian","metal","","door covering","Neo-Assyrian","90032637","RIMA 3 A.0.102.5","Shalmaneser III 005","Imgur-Enlil","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463789","Iraq Museum, Baghdad, Iraq; Vorderasiatisches Museum, Berlin, Germany; Musée d’Art et d’Histoire, Geneva, Switzerland; British Museum, London, UK; Private Collection: Unknown, Unknown","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004611/.","858-824","","Shalmaneser III 006","RIAo Shalmaneser III 006","Assyria","","IM 054669; VAT 09568 (Ass 21255); VAT 09559 (Ass 08475); VAT 09651; VAT 09553 (Ass 14627); MAH 10827; K 03106; VAT 09625; MAH 10830; VAT 09536 (Ass 12343); ND 04369; Private Collection","","Royal Inscription","Q004611","Akkadian","clay","","tablet","Neo-Assyrian","893945","RIMA 3 A.0.102.6","Shalmaneser III 006","Ashur","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463790","","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004612/.","858-824","","Shalmaneser III 007","RIAo Shalmaneser III 007","Assyria","","ND 04369","","Royal Inscription","Q004612","Akkadian","clay","","tablet","Neo-Assyrian","894019","RIMA 3 A.0.102.7","Shalmaneser III 007","Nimrud","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463791","Arkeoloji Müzeleri, Istanbul, Turkey ","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004613/.","858-824","","Shalmaneser III 008","RIAo Shalmaneser III 008","Assyria","","ICC 12–16 Bull no. 1;  ICC 13, 46–47 Bull no. 2; 3 R pl. 5 no. 6; Ist EŞEM 06697","","Royal Inscription","Q004613","Akkadian","stone","","bull colossus","Neo-Assyrian","894019","RIMA 3 A.0.102.8","Shalmaneser III 008","Nimrud","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463792","Walters Art Museum, Baltimore, Maryland, USA","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004614/.","858-824","","Shalmaneser III 009","RIAo Shalmaneser III 009","Assyria","","WAM 41.0162","","Royal Inscription","Q004614","Akkadian","stone","","stele","Neo-Assyrian","893945","RIMA 3 A.0.102.9","Shalmaneser III 009","Ashur","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463793","Iraq Museum, Baghdad, Iraq; Arkeoloji Müzeleri, Istanbul, Turkey ","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004615/.","858-824","","Shalmaneser III 010","RIAo Shalmaneser III 010","Assyria","","IM 055644; Ass 00862 + Ass 00873; Ist A 00659 (Ass 08558)","","Royal Inscription","Q004615","Akkadian","stone","","tablet","Neo-Assyrian","893945","RIMA 3 A.0.102.10","Shalmaneser III 010","Ashur","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463794","","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004616/.","858-824","","Shalmaneser III 011","RIAo Shalmaneser III 011","Assyria","","Ass 20739","","Royal Inscription","Q004616","Akkadian","stone","","slab","Neo-Assyrian","893945","RIMA 3 A.0.102.11","Shalmaneser III 011","Ashur","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463795","Iraq Museum, Baghdad, Iraq","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004617/.","858-824","","Shalmaneser III 012","RIAo Shalmaneser III 012","Assyria","","IM 060497 (ND 10000)","","Royal Inscription","Q004617","Akkadian","stone","","anthropomorphic statue","Neo-Assyrian","894019","RIMA 3 A.0.102.12","Shalmaneser III 012","Nimrud","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463796","","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004618/.","858-824","","Shalmaneser III 013","RIAo Shalmaneser III 013","Assyria","","Ass 01120","","Royal Inscription","Q004618","Akkadian","stone","","slab","Neo-Assyrian","893945","RIMA 3 A.0.102.13","Shalmaneser III 013","Ashur","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463797","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004619/.","858-824","","Shalmaneser III 014","RIAo Shalmaneser III 014","Assyria","","BM 118885 (1848-11-04, 0001); Ist EŞEM 06872 (Ass 02919)","","Royal Inscription","Q004619","Akkadian","stone","","obelisk","Neo-Assyrian","894019","RIMA 3 A.0.102.14","Shalmaneser III 014","Nimrud","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463798","Arkeoloji Müzeleri, Istanbul, Turkey ","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004620/.","858-824","","Shalmaneser III 015","RIAo Shalmaneser III 015","Assyria","","Ist EŞEM 06872 (Ass 02919); Ass 16812","","Royal Inscription","Q004620","Akkadian","stone","","slab","Neo-Assyrian","893945","RIMA 3 A.0.102.15","Shalmaneser III 015","Ashur","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463799","Iraq Museum, Baghdad, Iraq","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004621/.","858-824","","Shalmaneser III 016","RIAo Shalmaneser III 016","Assyria","","IM 060496 (ND 05500)","","Royal Inscription","Q004621","Akkadian","stone","","anthropomorphic statue","Neo-Assyrian","894019","RIMA 3 A.0.102.16","Shalmaneser III 016","Nimrud","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463800","Anadolu Medeniyetleri Müzesi, Ankara, Turkey","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004622/.","858-824","","Shalmaneser III 017","RIAo Shalmaneser III 017","Assyria","","Ank - (SU 51, 110)","","Royal Inscription","Q004622","Akkadian","clay","","tablet","Neo-Assyrian","249509021","RIMA 3 A.0.102.17","Shalmaneser III 017","Huzirina","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463801","Vorderasiatisches Museum, Berlin, Germany; Arkeoloji Müzeleri, Istanbul, Turkey ","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004623/.","858-824","","Shalmaneser III 018","RIAo Shalmaneser III 018","Assyria","","VA Ass 02102 (Ass 11429); VA Ass 02103 (Ass 05657); Ist A 03397 (Ass 03975); Ist A 03472 (Ass 09490)","","Royal Inscription","Q004623","Akkadian","clay","","cone","Neo-Assyrian","893945","RIMA 3 A.0.102.18","Shalmaneser III 018","Ashur","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463802","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004624/.","858-824","","Shalmaneser III 019","RIAo Shalmaneser III 019","Assyria","","BM 104410 (1855-12-05, 0460)","","Royal Inscription","Q004624","Akkadian","stone","","amulet","Neo-Assyrian","894019","RIMA 3 A.0.102.19","Shalmaneser III 019","Nimrud","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463803","Arkeoloji Müzeleri, Istanbul, Turkey ","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004625/.","858-824","","Shalmaneser III 020","RIAo Shalmaneser III 020","Assyria","","Tașyürek, Iraq 41 pls. XV-XVI","","Royal Inscription","Q004625","Akkadian","stone","","rock face","Neo-Assyrian","842949950","RIMA 3 A.0.102.20","Shalmaneser III 020","Kenk Boğazı","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463804","Arkeoloji Müzeleri, Istanbul, Turkey ","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004626/.","858-824","","Shalmaneser III 021","RIAo Shalmaneser III 021","Assyria","","Lehmann-Haupt, Mat. no. 21 ","","Royal Inscription","Q004626","Akkadian","stone","","rock face","Neo-Assyrian","914118846","RIMA 3 A.0.102.21","Shalmaneser III 021","Tigris Tunnel","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463805","Arkeoloji Müzeleri, Istanbul, Turkey ","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004627/.","858-824","","Shalmaneser III 022","RIAo Shalmaneser III 022","Assyria","","Lehmann-Haupt, Mat. no. 23 ","","Royal Inscription","Q004627","Akkadian","stone","","rock face","Neo-Assyrian","914118846","RIMA 3 A.0.102.22","Shalmaneser III 022","Tigris Tunnel","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463806","Arkeoloji Müzeleri, Istanbul, Turkey ","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004628/.","858-824","","Shalmaneser III 023","RIAo Shalmaneser III 023","Assyria","","Lehmann-Haupt, Mat. no. 20 ","","Royal Inscription","Q004628","Akkadian","stone","","rock face","Neo-Assyrian","914118846","RIMA 3 A.0.102.23","Shalmaneser III 023","Tigris Tunnel","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
"","","P463807","Arkeoloji Müzeleri, Istanbul, Turkey ","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC II (858-745 BC) (RIMA 3), Toronto, 1996. Adapted by Jamie Novotny (2016) and lemmatized and updated by Nathan Morello (2016) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004629/.","858-824","","Shalmaneser III 024","RIAo Shalmaneser III 024","Assyria","","Lehmann-Haupt, Mat. no. 22 ","","Royal Inscription","Q004629","Akkadian","stone","","rock face","Neo-Assyrian","914118846","RIMA 3 A.0.102.24","Shalmaneser III 024","Tigris Tunnel","","","Shalmaneser III","Neo-Assyrian","inscribed","Cuneiform","","Shalmaneser III","","",""
