accession_no,author,cdli_id,collection,credits,date_of_origin,dates_referenced,designation,display_name,dynastic_seat,excavation_no,exemplars,findspot_square,genre,id_composite,language,material,museum_no,object_type,period,pleiades_id,popular_name,primary_publication,provenience,publication_date,publication_history,ruler,script,script_remarks,script_type,seal_id,subgenre,subgenre_remarks,text_remarks,year_name_eponym
"","","P463636","British Museum, London, UK (destroyed squeezes)","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC I (1114-859 BC) (RIMA 2), Toronto,  1991. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016-17) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004455/.","883-859","","Ashurnasirpal II 001","RIAo Ashurnasirpal II 001","Assyria","","1 R pls. 17-26","","Royal Inscription","Q004455","Akkadian","stone","","slab (sculptured)","Neo-Assyrian","894019","RIMA 2 A.0.101.1","Ashurnasirpal II 001","Nimrud","","","Ashurnasirpal II ","Neo-Assyrian","inscribed","Cuneiform","","Ashurnasirpal II","","",""
"","","P463637","British Museum, London, UK; Metropolitan Museum of Art, New York, New York, USA; Iraq Museum, Baghdad, Iraq; Mosul Museum, Mosul, Iraq; Ashmolean Museum, Oxford, UK; Semitic Museum, Harvard University, Cambridge, Massachusetts, USA","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC I (1114-859 BC) (RIMA 2), Toronto,  1991. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016-17) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004456/.","883-859","","Ashurnasirpal II 002","RIAo Ashurnasirpal II 002","Assyria","","IMM 1 (ND 01122); BM 118873 (1850-12-28, 0001); MMA 1932.143.02; MMA 1932.143.01; BM 118872 (1850-12-28, 0002); BM 118801; BM 118802; Le Gac, Asn. pp. 172-179 ; IM 026472; IM 026473; SM 1897.01.001 (0322) Ashurnasirpal II 002 ex. 11","","Royal Inscription","Q004456","Akkadian","stone","","slab, lion colossus, bull colossus","Neo-Assyrian","894019","RIMA 2 A.0.101.2","Ashurnasirpal II 002","Nimrud","","","Ashurnasirpal II ","Neo-Assyrian","inscribed","Cuneiform","","Ashurnasirpal II","","",""
"","","P463638","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC I (1114-859 BC) (RIMA 2), Toronto,  1991. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016-17) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004457/.","883-859","","Ashurnasirpal II 003","RIAo Ashurnasirpal II 003","Assyria","","BM 124570","","Royal Inscription","Q004457","Akkadian","stone","","slab (sculptured)","Neo-Assyrian","894019","RIMA 2 A.0.101.3","Ashurnasirpal II 003","Nimrud","","","Ashurnasirpal II ","Neo-Assyrian","inscribed","Cuneiform","","Ashurnasirpal II","","",""
"","","P463639","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC I (1114-859 BC) (RIMA 2), Toronto,  1991. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016-17) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004458/.","883-859","","Ashurnasirpal II 004","RIAo Ashurnasirpal II 004","Assyria","","E 010 (squeeze) ; E 013a-b (squeeze); E 015 (squeeze); E 068a-c (squeeze) ; E 088a-b (squeeze)","","Royal Inscription","Q004458","Akkadian","stone","","slab","Neo-Assyrian","894019","RIMA 2 A.0.101.4","Ashurnasirpal II 004","Nimrud","","","Ashurnasirpal II ","Neo-Assyrian","inscribed","Cuneiform","","Ashurnasirpal II","","",""
"","","P463640","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC I (1114-859 BC) (RIMA 2), Toronto,  1991. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016-17) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004459/.","883-859","","Ashurnasirpal II 005","RIAo Ashurnasirpal II 005","Assyria","","BM 124571","","Royal Inscription","Q004459","Akkadian","stone","","slab (sculptured)","Neo-Assyrian","894019","RIMA 2 A.0.101.5","Ashurnasirpal II 005","Nimrud","","","Ashurnasirpal II ","Neo-Assyrian","inscribed","Cuneiform","","Ashurnasirpal II","","",""
"","","P463641","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC I (1114-859 BC) (RIMA 2), Toronto,  1991. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016-17) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004460/.","883-859","","Ashurnasirpal II 006","RIAo Ashurnasirpal II 006","Assyria","","BM 124572","","Royal Inscription","Q004460","Akkadian","stone","","slab (sculptured)","Neo-Assyrian","894019","RIMA 2 A.0.101.6","Ashurnasirpal II 006","Nimrud","","","Ashurnasirpal II ","Neo-Assyrian","inscribed","Cuneiform","","Ashurnasirpal II","","",""
"","","P463642","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC I (1114-859 BC) (RIMA 2), Toronto,  1991. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016-17) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004461/.","883-859","","Ashurnasirpal II 007","RIAo Ashurnasirpal II 007","Assyria","","BM 124573 (cast: BM 124589)","","Royal Inscription","Q004461","Akkadian","stone","","slab (sculptured)","Neo-Assyrian","894019","RIMA 2 A.0.101.7","Ashurnasirpal II 007","Nimrud","","","Ashurnasirpal II ","Neo-Assyrian","inscribed","Cuneiform","","Ashurnasirpal II","","",""
"","","P463643","Iraq Museum, Baghdad, Iraq","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC I (1114-859 BC) (RIMA 2), Toronto,  1991. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016-17) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004462/.","883-859","","Ashurnasirpal II 008","RIAo Ashurnasirpal II 008","Assyria","","IM 055744 (ND 00811); ND 00820","","Royal Inscription","Q004462","Akkadian","stone","","slab","Neo-Assyrian","894019","RIMA 2 A.0.101.8","Ashurnasirpal II 008","Nimrud","","","Ashurnasirpal II ","Neo-Assyrian","inscribed","Cuneiform","","Ashurnasirpal II","","",""
"","","P463644","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC I (1114-859 BC) (RIMA 2), Toronto,  1991. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016-17) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004463/.","883-859","","Ashurnasirpal II 009","RIAo Ashurnasirpal II 009","Assyria","","BM 090830","","Royal Inscription","Q004463","Akkadian","stone","","slab","Neo-Assyrian","894019","RIMA 2 A.0.101.9","Ashurnasirpal II 009","Nimrud","","","Ashurnasirpal II ","Neo-Assyrian","inscribed","Cuneiform","","Ashurnasirpal II","","",""
"","","P463645","","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC I (1114-859 BC) (RIMA 2), Toronto,  1991. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016-17) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004464/.","883-859","","Ashurnasirpal II 010","RIAo Ashurnasirpal II 010","Assyria","","Le Gac, Asn. p. 126 ‘C.1’","","Royal Inscription","Q004464","Akkadian","stone","","slab","Neo-Assyrian","894019","RIMA 2 A.0.101.10","Ashurnasirpal II 010","Nimrud","","","Ashurnasirpal II ","Neo-Assyrian","inscribed","Cuneiform","","Ashurnasirpal II","","",""
"","","P463646","British Museum, London, UK","Based on A. Kirk Grayson, Assyrian Rulers of the Early First Millennium BC I (1114-859 BC) (RIMA 2), Toronto,  1991. Adapted by Jamie Novotny (2015-16) and lemmatized and updated by Nathan Morello (2016-17) for the Alexander von Humboldt Foundation-funded OIMEA Project at the Historisches Seminar - Abteilung Alte Geschichte of Ludwig-Maximilians-Universität München. The annotated edition is released under the Creative Commons Attribution Share-Alike license 3.0. Please cite this page as http://oracc.org/riao/Q004465/.","883-859","","Ashurnasirpal II 011","RIAo Ashurnasirpal II 011","Assyria","","E 083 (squeeze; =Le Gac, Asn. pp. 126-127 ‘C.2, E.83’) ","","Royal Inscription","Q004465","Akkadian","stone","","slab","Neo-Assyrian","894019","RIMA 2 A.0.101.11","Ashurnasirpal II 011","Nimrud","","","Ashurnasirpal II ","Neo-Assyrian","inscribed","Cuneiform","","Ashurnasirpal II","","",""
